Date Time Hour Beginning,RSA Contracted Forecast,Dispatchable Generation,RSA Contracted Demand,Thermal Generation,Nuclear Generation,Eskom Gas Generation,Eskom OCGT Generation,Hydro Water Generation,Pumped Water Generation,Total RE,Total PCLF,Total UCLF,Total OCLF,Total UCLF+OCLF
2017/04/01 12:00:00 AM,22523.446,22481.62,22785.907,20762.08,1578.0,0.0,0.0,0.0,0.0,304.287,5022.368,3544.365,473.333,4017.698
2017/04/01 01:00:00 AM,22137.502,21919.7,22344.81,20636.9,1576.0,0.0,0.0,0.0,0.0,425.11,5025.535,3086.385,474.0,3560.385
2017/04/01 02:00:00 AM,22030.078,21808.03,22242.091,20511.49,1575.0,0.0,0.0,0.0,0.0,434.061,5025.535,3073.885,474.0,3547.885
2017/04/01 03:00:00 AM,22072.099,21872.13,22254.65,20586.46,1574.0,0.0,0.0,0.0,0.0,382.52,5025.535,2822.285,474.0,3296.285
2017/04/01 04:00:00 AM,22403.653,22230.29,22554.688,20942.75,1575.0,0.0,0.0,0.0,0.0,324.398,5025.535,2670.174,474.0,3144.174
2017/04/01 05:00:00 AM,23115.166,23039.13,23273.316,21757.33,1573.0,0.0,0.0,0.0,0.0,234.186,5025.535,2750.245,474.0,3224.245
2017/04/01 06:00:00 AM,24223.765,24168.23,24347.155,22857.69,1573.0,0.0,0.0,0.0,0.0,178.925,5025.535,2719.65,474.0,3193.65
2017/04/01 07:00:00 AM,25871.468,25722.19,26129.348,23237.26,1572.0,0.0,0.0,207.0,0.0,407.158,5025.535,2703.476,474.0,3177.476
2017/04/01 08:00:00 AM,27505.06,26283.34,27117.704,23424.67,1572.0,0.0,0.0,212.0,101.0,834.364,5663.475,2798.787,474.0,3272.787
2017/04/01 09:00:00 AM,27739.823,26328.38,27494.689,23199.71,1572.0,0.0,0.0,212.0,250.0,1166.309,5663.475,2834.468,474.0,3308.468
2017/04/01 10:00:00 AM,27606.587,26000.78,27353.936,22981.11,1571.0,0.0,0.0,92.0,254.0,1353.156,5663.475,3048.633,479.667,3528.3
2017/04/01 11:00:00 AM,27421.555,25733.93,27179.44,22572.26,1571.0,0.0,0.0,90.0,400.0,1445.51,5663.475,3365.883,598.951,3964.834
2017/04/01 12:00:00 PM,27248.985,25524.52,26956.378,22581.98,1570.0,0.0,0.0,90.0,201.0,1431.858,5663.475,3128.738,615.84,3744.578
2017/04/01 01:00:00 PM,26909.439,25079.89,26596.848,22340.09,1569.0,0.0,0.0,90.0,0.0,1516.958,5663.475,2914.208,672.957,3587.165
2017/04/01 02:00:00 PM,26437.821,24589.98,26090.736,21833.18,1569.0,0.0,0.0,90.0,0.0,1500.756,5663.475,2963.192,762.59,3725.782
2017/04/01 03:00:00 PM,26018.251,24743.21,26065.698,21463.54,1570.0,0.0,0.0,90.0,499.0,1322.488,5663.475,2972.056,751.19,3723.246
2017/04/01 04:00:00 PM,26085.571,25215.56,26268.017,21454.89,1569.0,0.0,0.0,90.0,958.0,1052.457,5650.24,2976.921,758.358,3735.279
2017/04/01 05:00:00 PM,26542.114,26013.02,26705.798,22266.22,1569.0,0.0,0.0,90.0,942.0,692.378,5610.535,3156.367,796.209,3952.576
2017/04/01 06:00:00 PM,28350.545,27776.86,28357.096,23915.19,1569.0,0.0,0.0,178.0,979.0,580.236,5610.535,3227.038,853.6,4080.638
2017/04/01 07:00:00 PM,28467.206,27963.83,28515.441,24242.03,1568.0,0.0,0.0,210.0,823.0,551.611,5610.535,3252.468,818.933,4071.401
2017/04/01 08:00:00 PM,26363.545,26283.37,26749.786,23697.83,1568.0,0.0,0.0,33.0,0.0,466.416,5610.535,3752.168,797.507,4549.675
2017/04/01 09:00:00 PM,24673.673,24985.2,25374.349,22962.53,1568.0,0.0,0.0,0.0,0.0,389.149,5610.535,3726.216,538.537,4264.753
2017/04/01 10:00:00 PM,23237.671,23424.41,23758.389,21838.74,1568.0,0.0,0.0,0.0,0.0,333.979,5610.535,3090.0,522.67,3612.67
2017/04/01 11:00:00 PM,22367.124,22289.16,22538.7,21052.49,1568.0,0.0,0.0,0.0,0.0,249.54,5610.535,2930.946,522.67,3453.616
2017/04/02 12:00:00 AM,21384.787,21552.04,21727.023,20284.37,1568.0,0.0,0.0,0.0,0.0,174.983,5610.535,2813.946,522.67,3336.616
2017/04/02 01:00:00 AM,21085.947,21063.49,21218.485,20053.82,1569.0,0.0,0.0,0.0,0.0,154.995,5610.535,2774.946,522.67,3297.616
2017/04/02 02:00:00 AM,20952.695,20930.87,21084.482,20058.2,1568.0,0.0,0.0,0.0,0.0,153.612,5610.535,2774.946,522.67,3297.616
2017/04/02 03:00:00 AM,20993.343,20985.26,21144.893,20056.72,1566.0,0.0,0.0,0.0,0.0,159.633,5610.535,2774.946,522.67,3297.616
2017/04/02 04:00:00 AM,21238.674,21104.07,21290.344,20041.27,1567.0,0.0,0.0,0.0,0.0,186.274,5610.535,2774.946,522.67,3297.616
2017/04/02 05:00:00 AM,21813.477,21642.05,21866.356,20412.51,1566.0,0.0,0.0,0.0,0.0,224.306,5610.535,2758.897,522.67,3281.567
2017/04/02 06:00:00 AM,23170.029,22585.4,22827.304,21106.6,1565.0,0.0,0.0,0.0,0.0,241.904,5610.535,2745.766,522.67,3268.436
2017/04/02 07:00:00 AM,25141.329,24589.69,25080.685,21285.02,1565.0,0.0,0.0,206.0,492.0,490.995,5610.535,2745.766,522.67,3268.436
2017/04/02 08:00:00 AM,26748.007,24895.71,25818.849,21825.04,1565.0,0.0,0.0,212.0,435.0,923.139,5667.404,2737.504,504.99,3242.494
2017/04/02 09:00:00 AM,27322.3,25629.94,26897.156,22020.4,1565.0,0.0,0.0,210.0,693.0,1267.216,5702.755,2732.536,494.0,3226.536
2017/04/02 10:00:00 AM,27401.854,25116.29,26642.098,21684.49,1564.0,0.0,0.0,90.0,645.0,1525.808,5702.755,2729.071,494.0,3223.071
2017/04/02 11:00:00 AM,27358.53,24996.26,26617.832,21375.72,1563.0,0.0,0.0,90.0,837.0,1621.572,5702.755,2964.442,494.0,3458.442
2017/04/02 12:00:00 PM,27012.057,24747.42,26426.703,21284.49,1563.0,0.0,0.0,90.0,684.0,1679.283,5702.755,3093.046,494.0,3587.046
2017/04/02 01:00:00 PM,26433.854,24308.98,26024.069,21155.44,1562.0,0.0,0.0,90.0,376.0,1715.089,5621.088,3093.046,494.0,3587.046
2017/04/02 02:00:00 PM,25929.092,23824.95,25497.161,21063.15,1561.0,0.0,0.0,90.0,0.0,1672.211,5602.755,3130.499,494.0,3624.499
